run,sim_minute,hour_of_day,zone_temp_c,outdoor_temp_c,occupancy_fraction,pmv,cooling_setpoint,heating_setpoint,fan_flow_fraction,instantaneous_kw,cumulative_kwh
ai_driven,945,15.75,23.81,32.33,1.0,0.42,22.8,20.5,1.0,4.776,36.616
ai_driven,960,16.0,23.75,32.0,1.0,0.4,22.8,20.5,1.0,4.272,37.684
ai_driven,975,16.25,23.87,31.65,1.0,0.44,23.0,19.5,0.6,2.801,38.384
ai_driven,990,16.5,23.87,31.3,1.0,0.44,23.0,19.5,0.6,3.216,39.188
ai_driven,1005,16.75,23.73,30.93,1.0,0.39,22.8,20.5,1.0,4.505,40.314
ai_driven,1020,17.0,23.69,30.55,1.0,0.38,22.8,20.5,1.0,4.005,41.316
ai_driven,1035,17.25,23.78,30.17,1.0,0.41,23.0,19.5,0.6,2.569,41.958
ai_driven,1050,17.5,23.79,29.78,1.0,0.41,23.0,19.5,0.6,2.889,42.68
ai_driven,1065,17.75,23.74,29.39,1.0,0.4,23.0,19.5,0.6,2.929,43.412
ai_driven,1080,18.0,23.74,29.0,0.05,0.4,23.0,19.5,0.6,2.742,44.098
ai_driven,1095,18.25,24.03,28.61,0.05,0.49,27.5,16.5,0.3,0.02,44.103
ai_driven,1110,18.5,24.31,28.22,0.05,0.58,27.5,16.5,0.3,0.02,44.108
ai_driven,1125,18.75,24.54,27.83,0.05,0.65,27.5,16.5,0.3,0.02,44.113
ai_driven,1140,19.0,24.7,27.45,0.05,0.7,27.5,16.5,0.3,0.02,44.118
ai_driven,1155,19.25,24.85,27.07,0.05,0.75,27.5,16.5,0.3,0.02,44.123
ai_driven,1170,19.5,24.98,26.7,0.05,0.79,27.5,16.5,0.3,0.02,44.128
ai_driven,1185,19.75,25.05,26.35,0.05,0.82,27.5,16.5,0.3,0.02,44.133
ai_driven,1200,20.0,25.13,26.0,0.05,0.84,27.5,16.5,0.3,0.02,44.138
ai_driven,1215,20.25,25.17,25.67,0.05,0.85,27.5,16.5,0.3,0.02,44.143
ai_driven,1230,20.5,25.18,25.35,0.05,0.86,27.5,16.5,0.3,0.02,44.148
ai_driven,1245,20.75,25.18,25.04,0.05,0.86,27.5,16.5,0.3,0.02,44.153
ai_driven,1260,21.0,25.2,24.76,0.05,0.86,27.5,16.5,0.3,0.02,44.158
ai_driven,1275,21.25,25.17,24.49,0.05,0.85,27.5,16.5,0.3,0.02,44.163
ai_driven,1290,21.5,25.13,24.24,0.05,0.84,27.5,16.5,0.3,0.02,44.168
ai_driven,1305,21.75,25.09,24.01,0.05,0.83,27.5,16.5,0.3,0.02,44.174
ai_driven,1320,22.0,25.07,23.8,0.05,0.82,27.5,16.5,0.3,0.02,44.179
ai_driven,1335,22.25,24.99,23.62,0.05,0.8,27.5,16.5,0.3,0.02,44.184
ai_driven,1350,22.5,24.93,23.46,0.05,0.78,27.5,16.5,0.3,0.02,44.189
ai_driven,1365,22.75,24.87,23.32,0.05,0.76,27.5,16.5,0.3,0.02,44.194
ai_driven,1380,23.0,24.83,23.2,0.05,0.75,27.5,16.5,0.3,0.02,44.199
ai_driven,1395,23.25,24.78,23.12,0.05,0.73,27.5,16.5,0.3,0.02,44.204
ai_driven,1410,23.5,24.73,23.05,0.05,0.71,27.5,16.5,0.3,0.02,44.209
ai_driven,1425,23.75,24.65,23.01,0.05,0.69,27.5,16.5,0.3,0.02,44.214
ai_driven,1440,0.0,24.57,23.0,0.05,0.66,27.5,16.5,0.3,0.02,44.219
